id,name,created_at,advertisers_entities.id,entities.short_name,entities.name,entities.color,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name,entities_groups.id,entities_groups.group_name,entities_groups.order_group
79a3d56e-c236-4512-b617-b9f0d0d691fc,Bill Shorten,2022-08-16T15:23:52.709Z,20a5f01d-d432-441a-a3a2-39b4ad39cb42,Lab,Australian Labor Party,#F00011,Australia,au,464998863536680,Bill Shorten,Facebook,19,National Political Parties,1
c5c88fbc-4b82-4710-8ba5-33f426364cf3,Labor Party,2022-08-16T15:23:52.707Z,82a6a53e-c6f2-411f-8663-3358a3efe55a,Lab,Australian Labor Party,#F00011,Australia,au,307341981788,Labor Party,Facebook,19,National Political Parties,1
38b7502a-8c06-4656-9205-33e039c57788,Senator Sue Lines,2023-02-23T10:52:35.236Z,bdaac099-a5c1-4513-8fc6-670ae0a37594,Lab,Australian Labor Party,#F00011,Australia,au,191151434373471,Senator Sue Lines,Facebook,19,National Political Parties,1
f0e37228-3187-46e3-ad00-54dbbdd02a0e,Senator Anne Urquhart,2023-02-13T10:52:41.553Z,84825fdb-41bc-4905-8639-01c2630b2926,Lab,Australian Labor Party,#F00011,Australia,au,202499469817925,Senator Anne Urquhart,Facebook,19,National Political Parties,1
6e59d7b1-9828-4595-b68e-b3023741bea1,Nita Green - Senator for Queensland,2023-02-11T10:52:19.738Z,a4149609-b5eb-418e-bef0-907a9c851013,Lab,Australian Labor Party,#F00011,Australia,au,1562902040522057,Nita Green - Senator for Queensland,Facebook,19,National Political Parties,1
35d80efc-7f66-413e-9c6d-f14f967d49e8,Murray Watt - Senator for Queensland,2023-02-10T10:52:41.270Z,006c60be-b058-45c3-9431-e5346e620728,Lab,Australian Labor Party,#F00011,Australia,au,1125047917526728,Murray Watt - Senator for Queensland,Facebook,19,National Political Parties,1
444c3a5d-ec85-4c36-970f-ab2e0e93cd90,Senator Anthony Chisholm,2023-02-10T10:52:40.891Z,aa9d883e-28be-42cc-9d03-bf213db44302,Lab,Australian Labor Party,#F00011,Australia,au,1501550403427903,Senator Anthony Chisholm,Facebook,19,National Political Parties,1
bf87fb82-f9b1-4506-99aa-9ee94e1a5afb,Steve Ryan for Lake Mac,2023-03-04T10:52:41.033Z,0b2a6068-1b6d-4a21-ae87-04dc3c7a4028,Lab,Australian Labor Party,#F00011,Australia,au,108227788808666,Steve Ryan for Lake Mac,Facebook,19,National Political Parties,1
e15599bd-38b0-4122-8236-c856b058eaf3,Steven Miles,2023-04-04T10:52:31.755Z,7d625ba4-6e92-409a-94c6-1b8d95c81644,Lab,Australian Labor Party,#F00011,Australia,au,1524698857748303,Steven Miles,Facebook,19,National Political Parties,1
26fe2499-496f-4c49-9881-fdf7d984998b,Paul Papalia CSC MLA,2023-03-08T19:20:17.275Z,3d8530f5-a83f-4feb-94b9-a9e13c20a6f0,Lab,Australian Labor Party,#F00011,Australia,au,1532688713623366,Paul Papalia CSC MLA,Facebook,19,National Political Parties,1
